"","Tweet","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"114","my province here in the Philippines is declaring a LOCKDOWN.

My moving up ceremony is canceled.",0,0,0,0,1,0,1,0,0,1
"115","The Armed Forces of the Philippines, instead of doing their mandate to protect the Constitution and its people from threats foreign and domestic will now be “guardians” of the NCR lockdown alongside the PNP. Their immunity might be compromised.",1,0,0,1,0,0,0,0,2,2
"116","In the Philippines they announced a lockdown due to COVID-19 yet here in Japan they don’t give a shit about it <U+0001F643>",1,0,1,0,0,0,0,1,1,1
"117","Well this is what it looks like in LA too.. nothing new. A place like Metro Manila should be on lockdown for safety measures. The Philippines is very lenient in terms of lifestyle and culture so a lockdown should help minimize tagay2 contact..lol.. ",0,0,0,0,0,0,0,0,1,3
"118","",0,0,0,0,0,0,0,0,0,0
"119","So easy now for China to invade the Philippines via NCR
",1,0,0,1,0,1,1,0,1,0
"120","Into lockdown we go.  Here in the Philippines, we are preparing for “community quarantine” which is a mild version of China’s lockdown. I’ve been out and panic-bought some corona beer. That should see me through.",0,0,0,2,1,0,0,0,1,2
"121","",0,0,0,0,0,0,0,0,0,0
"122","President Rodrigo Duterte will place Metro Manila on lockdown for at least 30 days to contain the spread of the novel coronavirus in the Philippines. He also raises Code Red Sublevel 2 Thursday, March 12
Full story: ",0,0,0,0,0,0,0,1,0,3
"123","Reports of a planned lockdown in NCR have been circulating due to a spike in confirmed ",0,0,0,1,0,0,0,1,0,1
"124","LIVE NOW: DOTr holds press briefing ahead of Metro Manila ",0,0,0,0,0,0,0,0,0,1
"125","President Duterte says it is still 'too early' to impose the sweeping measure after the Philippines records 24 confirmed cases of the coronavirus. ",0,0,0,0,0,0,0,3,0,2
"126","",0,0,0,0,0,0,0,0,0,0
"127","This came as President Duterte raised ""Code Red Sublevel 2"" over Metro Manila, placing it on ""community quarantine"" or lockdown after localized transmissions of the ",0,0,0,1,0,0,0,1,0,2
"128","Metro Manila, a region of over 12 million people, will be placed on lockdown for at least 30 days to contain the spread of the novel ",0,0,0,0,0,0,0,0,0,0
"129","Metro Manila, a region of over 12 million people, will be placed on lockdown for at least 30 days to contain the spread of the novel ",0,0,0,0,0,0,0,0,0,0
"130","Reports of a planned lockdown in NCR have been circulating due to a spike in confirmed ",0,0,0,1,0,0,0,1,0,1
"131","The public transport system in the Philippines is a good avenue for transmission of ",0,2,0,0,1,0,1,2,0,2
"132","Damn some people here in the Philippines think that having a lockdown and quarantine with a curfew is already a martial law declaration, sometimes these people make me ashamed to even be filipino at all. If they really want martial law they should go somewhere else. ",2,0,2,1,0,1,0,1,2,0
"133","People in other country when they lockdown they stay at home and never complaint. 

In the Philippines,

People : Martial law! Mga bobong gobyerno! President bashers nag labasan sa social media And all stupid stuff blaming others.

",3,0,0,0,0,0,0,2,3,1
"134","Northern Philippines has been on lock down. In my city, lockdown will start Monday <U+0001F637> community quarantine in some parts <U+0001F637>",0,1,0,1,0,0,0,0,0,1
"135","Remember the last time wuhan announced lockdown? Nag alisan mga residents and visitors nila because of fear.

Now it's happening again in manila 

Good thing Philippines are separated island country goodluck sa mga government officials it's time gawin nyo duty nyo sa Philippines.",2,2,0,2,1,0,1,1,3,1
